"ProcessName","LocalAddress","LocalPort","RemoteAddress","RemotePort","State"
"RvControlSvc","0.0.0.0","57114","0.0.0.0","0","Bound"
"RvControlSvc","0.0.0.0","57099","0.0.0.0","0","Bound"
"RvControlSvc","0.0.0.0","57097","0.0.0.0","0","Bound"
"RvControlSvc","0.0.0.0","57012","0.0.0.0","0","Bound"
"RvControlSvc","0.0.0.0","57011","0.0.0.0","0","Bound"
"chrome","0.0.0.0","56941","0.0.0.0","0","Bound"
"RvControlSvc","0.0.0.0","56939","0.0.0.0","0","Bound"
"RvControlSvc","0.0.0.0","56938","0.0.0.0","0","Bound"
"mongod","0.0.0.0","56936","0.0.0.0","0","Bound"
"Discord","0.0.0.0","56897","0.0.0.0","0","Bound"
"mongod","0.0.0.0","56630","0.0.0.0","0","Bound"
"chrome","0.0.0.0","56469","0.0.0.0","0","Bound"
"RvControlSvc","0.0.0.0","56440","0.0.0.0","0","Bound"
"RvControlSvc","0.0.0.0","56439","0.0.0.0","0","Bound"
"RvControlSvc","0.0.0.0","56438","0.0.0.0","0","Bound"
"RvControlSvc","0.0.0.0","56437","0.0.0.0","0","Bound"
"RvControlSvc","0.0.0.0","56398","0.0.0.0","0","Bound"
"RvControlSvc","0.0.0.0","56397","0.0.0.0","0","Bound"
"RvControlSvc","0.0.0.0","56357","0.0.0.0","0","Bound"
"RvControlSvc","0.0.0.0","56356","0.0.0.0","0","Bound"
"compsup","0.0.0.0","56280","0.0.0.0","0","Bound"
"chrome","0.0.0.0","56066","0.0.0.0","0","Bound"
"WINWORD","0.0.0.0","55274","0.0.0.0","0","Bound"
"WINWORD","0.0.0.0","55272","0.0.0.0","0","Bound"
"chrome","0.0.0.0","55215","0.0.0.0","0","Bound"
"splunkd","0.0.0.0","54301","0.0.0.0","0","Bound"
"splunkd","0.0.0.0","54294","0.0.0.0","0","Bound"
"mongod","0.0.0.0","54291","0.0.0.0","0","Bound"
"splunkd","0.0.0.0","54266","0.0.0.0","0","Bound"
"spotlight-collector","0.0.0.0","54264","0.0.0.0","0","Bound"
"spotlight-collector","0.0.0.0","54255","0.0.0.0","0","Bound"
"spotlight-collector","0.0.0.0","54254","0.0.0.0","0","Bound"
"spotlight-collector","0.0.0.0","54253","0.0.0.0","0","Bound"
"spotlight-collector","0.0.0.0","54252","0.0.0.0","0","Bound"
"spotlight-collector","0.0.0.0","54251","0.0.0.0","0","Bound"
"spotlight-collector","0.0.0.0","54250","0.0.0.0","0","Bound"
"spotlight-collector","0.0.0.0","54248","0.0.0.0","0","Bound"
"splunkd","0.0.0.0","54247","0.0.0.0","0","Bound"
"splunkd","0.0.0.0","54246","0.0.0.0","0","Bound"
"splunkd","0.0.0.0","54245","0.0.0.0","0","Bound"
"mongod","0.0.0.0","54210","0.0.0.0","0","Bound"
"mongod","0.0.0.0","53925","0.0.0.0","0","Bound"
"mongod","0.0.0.0","53695","0.0.0.0","0","Bound"
"splunkd","0.0.0.0","53682","0.0.0.0","0","Bound"
"mongod","0.0.0.0","51388","0.0.0.0","0","Bound"
"chrome","0.0.0.0","51239","0.0.0.0","0","Bound"
"chrome","0.0.0.0","50426","0.0.0.0","0","Bound"
"chrome","0.0.0.0","50014","0.0.0.0","0","Bound"
"compsup","0.0.0.0","49714","0.0.0.0","0","Bound"
"compsup","0.0.0.0","49704","0.0.0.0","0","Bound"
"mysqld","0.0.0.0","49673","0.0.0.0","0","Bound"
"mysqld","0.0.0.0","49671","0.0.0.0","0","Bound"
"svchost","0.0.0.0","49425","0.0.0.0","0","Bound"
"svchost","0.0.0.0","49424","0.0.0.0","0","Bound"
"chrome","10.9.117.234","64685","8.8.8.8","443","Established"
"Idle","127.0.0.1","64668","127.0.0.1","8089","TimeWait"
"compsup","127.0.0.1","64380","127.0.0.1","58263","Established"
"Discord","10.9.117.234","64276","162.159.137.232","443","Established"
"splunkd","127.0.0.1","63738","127.0.0.1","8191","Established"
"splunkd","127.0.0.1","63737","127.0.0.1","8191","Established"
"compsup","127.0.0.1","63475","127.0.0.1","54608","Established"
"compsup","127.0.0.1","60994","127.0.0.1","8194","Established"
"compsup","127.0.0.1","60992","127.0.0.1","8194","Established"
"splunkd","127.0.0.1","60803","127.0.0.1","8191","Established"
"compsup","127.0.0.1","60463","127.0.0.1","60431","Established"
"compsup","127.0.0.1","60444","127.0.0.1","60431","Established"
"identity","127.0.0.1","60431","127.0.0.1","60444","Established"
"identity","127.0.0.1","60431","127.0.0.1","60463","Established"
"identity","127.0.0.1","60431","0.0.0.0","0","Listen"
"identity","127.0.0.1","60430","0.0.0.0","0","Listen"
"mongod","127.0.0.1","60386","127.0.0.1","8191","Established"
"splunkd","127.0.0.1","60359","127.0.0.1","8191","Established"
"chrome","10.9.117.234","60266","172.253.116.105","443","CloseWait"
"mongod","127.0.0.1","60188","127.0.0.1","8191","Established"
"mongod","127.0.0.1","59818","127.0.0.1","8191","Established"
"mongod","127.0.0.1","59817","127.0.0.1","8191","Established"
"mongod","127.0.0.1","59669","127.0.0.1","8191","Established"
"splunkd","127.0.0.1","59568","127.0.0.1","8191","Established"
"mongod","127.0.0.1","59486","127.0.0.1","8191","Established"
"mongod","127.0.0.1","59410","127.0.0.1","8191","Established"
"SearchHost","10.9.117.234","59400","52.98.207.50","443","Established"
"Idle","10.9.117.234","59399","150.171.28.10","443","TimeWait"
"mongod","127.0.0.1","59040","127.0.0.1","8191","Established"
"chrome","10.9.117.234","59024","74.125.193.94","443","Established"
"chrome","10.9.117.234","58694","209.85.203.95","443","Established"
"splunkd","127.0.0.1","58590","127.0.0.1","8191","Established"
"Idle","10.9.117.234","58404","104.18.43.204","443","TimeWait"
"compsup","127.0.0.1","58372","127.0.0.1","58263","Established"
"ipc_broker","127.0.0.1","58263","127.0.0.1","58372","Established"
"ipc_broker","127.0.0.1","58263","127.0.0.1","64380","Established"
"ipc_broker","127.0.0.1","58263","0.0.0.0","0","Listen"
"mongod","127.0.0.1","58216","127.0.0.1","8191","Established"
"chrome","10.9.117.234","58094","172.64.155.209","443","Established"
"splunkd","127.0.0.1","58079","127.0.0.1","8191","Established"
"chrome","10.9.117.234","57724","52.97.211.162","443","Established"
"Discord","10.9.117.234","57229","162.159.134.234","443","Established"
"mongod","127.0.0.1","57178","127.0.0.1","8191","Established"
"chrome","10.9.117.234","56941","104.18.43.204","443","Established"
"mongod","127.0.0.1","56936","127.0.0.1","8191","Established"
"Discord","10.9.117.234","56897","35.186.224.39","443","Established"
"mongod","127.0.0.1","56630","127.0.0.1","8191","Established"
"chrome","10.9.117.234","56469","23.216.154.19","443","Established"
"compsup","127.0.0.1","56280","127.0.0.1","49693","Established"
"chrome","10.9.117.234","56066","8.8.8.8","443","Established"
"Idle","10.9.117.234","55297","23.216.155.88","443","TimeWait"
"Idle","10.9.117.234","55296","23.216.155.88","443","TimeWait"
"Idle","10.9.117.234","55295","23.216.155.88","443","TimeWait"
"Idle","10.9.117.234","55294","23.216.155.88","443","TimeWait"
"Idle","10.9.117.234","55293","23.216.155.88","443","TimeWait"
"Idle","10.9.117.234","55292","23.216.155.88","443","TimeWait"
